Name,ID
,0
So Shall You Fight,1
Precision Shot,2
Squadsight,3
Secondary Heart,4
Low Profile,5
Run and Gun,6
Autopsy Required,7
Battle Scanner,8
Disabling Shot,9
Opportunist,10
Executioner,11
,12
Double Tap,13
In The Zone,14
Damn Good Ground,15
Snap Shot,16
Will to Survive,17
Fire Rocket,18
Holo-Targeting,19
Adrenal Neurosympathy,20
Suppression,21
Shredder Ammo,22
Rapid Reaction,23
Grenadier,24
Danger Zone,25
Ready For Anything,26
Extra Conditioning,27
Neural Damping,28
Neural Feedback,29
Hyper-Reactive Pupils,30
Sprinter,31
Aggression,32
Tactical Sense,33
Close Encounters,34
Lightning Reflexes,35
Rapid Fire,36
Flush,37
Depth Perception,38
Bring 'Em On,39
Close Combat Specialist,40
Killer Instinct,41
Bioelectric Skin,42
Resilience,43
Smoke Grenade,44
Adaptive Bone Marrow,45
Random Subclass,46
Covering Fire,47
Field Medic,48
Pyrokinesis,49
Muscle Fiber Density,50
Combat Drugs,51
Dense Smoke,52
Packmaster,53
Sentinel,54
Savior,55
Revive,56
Elevated Ground,57
Lock N' Load,58
Sapper,59
Suppressed,60
Critically Wounded,61
Airborne,62
Stealth,63
HEAT Warheads,64
Combat Stimmed,65
Javelin Rockets,66
Panicked,67
Mindfray,68
Psi Panic,69
Psi Inspiration,70
Mind Control,71
Telekinetic Field,72
Rift,73
Mind Merge,74
Mind Merge,75
Hardened,76
Greater Mind Merge,77
Greater Mind Merge,78
Evasion,79
Launch,80
Bombard,81
Leap,82
Acid Spit,83
Venomous Claws,84
Blood Call,85
Intimidate,86
Fallen Comrades,87
Bloodlust,88
Bull Rush,89
HEAT Ammo,90
Smoke and Mirrors,91
Shock and Awe,92
Mayhem,93
Ranger,94
Concealment,95
Cluster Bomb,96
Psi Lance,97
Death Blossom,98
Overload,99
Psi Control,100
Psi Drain,101
Repair,102
Cannon Fire,103
Implant,104
Chryssalid Spawn,105
Battle Fatigue,106
Range,107
Range,108
,109
,110
,111
Tandem Warheads,112
,113
Fire in the Hole,114
,115
Deadeye,116
,117
,118
Psychokinetic Strike,119
,120
MEC Close Combat,121
Stay Frosty,122
,123
Sentinel Module,124
Alien Grenades,125
Light 'Em Up,126
Stealth,127
Ghost Mode,128
Reaper Pack,129
Disoriented,130
Collateral Damage,131
Automated Threat Assessment,132
Advanced Fire Control,133
Damage Control,134
Vital Point Targeting,135
One For All,136
Jetboot Module,137
Combined Arms,138
Repair Servos,139
Fortiores Una,140
Platform Stability,141
Absorption Fields,142
Shock-Absorbent Armor,143
Reactive Targeting Sensors,144
Body Shield,145
Distortion Field,146
Adrenaline Surge,147
Iron Skin,148
Regen Biofield,149
Field Surgeon,150
EXALT Comm Hack,151
Semper Vigilans,152
Sharpshooter,153
Steadfast,154
Smart Macrophages,155
Legio Patria Nostra,156
Band of Warriors,157
So Others May Live,158
Lone Wolf,159
Esprit de Corps,160
Into the Breach,161
Paramedic,162
Aiming Angles,163
Catching Breath,164
Tactical Rigging,165
Strangle,166
Hit and Run,167
Psi Shield,168
Electropulsed,169
OTS Leader Bonus,170
Lead By Example,171
