id	lName	nName	rank	status	MOB	HP	DEF	WILL	AIM		So Shall You Fight	Precision Shot	Squadsight	Secondary Heart	Low Profile	Run and Gun	Autopsy Required	Battle Scanner	Disabling Shot	Opportunist	Executioner		Double Tap	In The Zone	Damn Good Ground	Snap Shot	Will to Survive	Fire Rocket	Holo-Targeting	Adrenal Neurosympathy	Suppression	Shredder Ammo	Rapid Reaction	Grenadier	Danger Zone	Ready For Anything	Extra Conditioning	Neural Damping	Neural Feedback	Hyper-Reactive Pupils	Sprinter	Aggression	Tactical Sense	Close Encounters	Lightning Reflexes	Rapid Fire	Flush	Depth Perception	Bring 'Em On	Close Combat Specialist	Killer Instinct	Bioelectric Skin	Resilience	Smoke Grenade	Adaptive Bone Marrow	Random Subclass	Covering Fire	Field Medic	Pyrokinesis	Muscle Fiber Density	Combat Drugs	Dense Smoke	Packmaster	Sentinel	Savior	Revive	Elevated Ground	Lock N' Load	Sapper	Suppressed	Critically Wounded	Airborne	Stealth	HEAT Warheads	Combat Stimmed	Javelin Rockets	Panicked	Mindfray	Psi Panic	Psi Inspiration	Mind Control	Telekinetic Field	Rift	Mind Merge	Mind Merge	Hardened	Greater Mind Merge	Greater Mind Merge	Evasion	Launch	Bombard	Leap	Acid Spit	Venomous Claws	Blood Call	Intimidate	Fallen Comrades	Bloodlust	Bull Rush	HEAT Ammo	Smoke and Mirrors	Shock and Awe	Mayhem	Ranger	Concealment	Cluster Bomb	Psi Lance	Death Blossom	Overload	Psi Control	Psi Drain	Repair	Cannon Fire	Implant	Chryssalid Spawn	Battle Fatigue	Range	Range				Tandem Warheads		Fire in the Hole		Deadeye			Psychokinetic Strike		MEC Close Combat	Stay Frosty		Sentinel Module	Alien Grenades	Light 'Em Up	Stealth	Ghost Mode	Reaper Pack	Disoriented	Collateral Damage	Automated Threat Assessment	Advanced Fire Control	Damage Control	Vital Point Targeting	One For All	Jetboot Module	Combined Arms	Repair Servos	Fortiores Una	Platform Stability	Absorption Fields	Shock-Absorbent Armor	Reactive Targeting Sensors	Body Shield	Distortion Field	Adrenaline Surge	Iron Skin	Regen Biofield	Field Surgeon	EXALT Comm Hack	Semper Vigilans	Sharpshooter	Steadfast	Smart Macrophages	Legio Patria Nostra	Band of Warriors	So Others May Live	Lone Wolf	Esprit de Corps	Into the Breach	Paramedic	Aiming Angles	Catching Breath	Tactical Rigging	Strangle	Hit and Run	Psi Shield	Electropulsed	OTS Leader Bonus	Lead By Example
6	swfDelicious	Zeus	6	Active	12	5	4	57	84	●			●									●																				●												●								●																																																									●	●	●		●		●		●	●		●			●		●	●																																									●				
8	evievolt	Strobe [Rsp	5	Active	16	7	-3	60	72	●					●					●		●			●						●									●						●												●						●	●																																																						●	●	●		●		●		●	●		●			●		●																																														
9	COOKING	Solo	4	Active	12	4	4	35	75	●			●									●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
11	Cromulon9	My LU RR	5	Active	12	4	3	60	78	●										●		●						●				●	●			●																																																																		●	●																●	●	●		●		●		●	●		●			●		●	●																																									●				
16	Wesley436	Warez	5	Healing	12	9	-2	55	78	●								●				●												●										●																																																									●				●														●	●	●		●		●		●	●		●			●		●																													●																	
17	danfol1890	Storm	6	Healing	13	8	3	59	80	●												●							●																													●			●		●			●																																			●																		●	●	●		●		●		●	●		●			●		●	●																																				●									●
20	Cordance	Vampire	6	Healing	13	4	2	60	94	●			●							●		●							●																							●												●																																																							●	●	●		●		●		●	●		●			●		●	●																																									●				
21	Moobot	CD+Pm HT	5	Healing	12	6	2	49	80	●												●						●	●			●				●																									●		●																																							●																	●	●	●		●		●		●	●		●			●		●																																														
24	TamTam	Sheriff	5	Active	12	7	-4	49	78	●								●				●																																								●						●																																																			●	●	●		●		●		●	●		●			●		●	●					●																																								
26	COOKING	Flint	4	Active	14	3	-2	38	71	●			●									●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
28	Tolrin	RR Rg Ag	4	Active	11	7	0	57	76	●										●		●											●	●								●																																																											●			●															●	●	●		●		●		●	●		●			●		●																																														
29	Olagunju	COOKING	4	Active	13	5	3	34	67	●			●									●																																																																																																	●	●	●		●		●		●	●		●			●		●																																														
30	SpeedBump	Rhino+	7	Healing	11	7	8	58	101	●										●		●		●									●															●																										●																										●				●															●	●	●		●		●	●	●	●		●			●		●	●																																									●				●
31	mudkip202	VT HR	4	Active	11	6	4	45	76	●						●						●																												●	●																																																																				●	●	●		●		●		●	●		●			●		●										●																																●				
32	ExodusInfinite	Dr. Horket	7	Healing	13	5	4	59	90	●												●						●	●			●				●																						●								●								●																										●		●	●																●	●	●		●		●		●	●		●			●		●																●																														
33	TangoDashOne	LU DZ FtH	5	Active	15	4	0	46	77	●												●						●				●			●	●																																																																		●																	●	●	●		●	●	●		●	●		●			●		●	●																																													
